age,income,overtime,turnover,turnover
190105,76.8,4,4300,1
190106,44.4,7,7500,1
190107,66,6,2900,1
190108,62.4,5,5300,1
190109,63.6,6,4000,1
190110,52.8,5,5100,1
190111,64.8,5,5700,0
190112,56.4,4,5900,1
190113,64.8,5,5100,1
190114,51.6,1,5700,0
190115,80.4,2,5800,1
190116,76.8,6,4300,1
190117,76.8,7,8700,1
190118,91.2,6,4100,1
190119,88.8,4,6600,1
190120,55.2,7,6100,1
190121,44.4,4,6300,1
190122,51.6,4,9200,1
190123,52.8,5,7700,1
190124,88.8,6,9400,1
190125,40.8,5,5650,1
190126,56.4,5,8600,1
190127,88.8,7,3100,1
190128,44.4,6,3800,1
190129,56.4,5,4600,1
190130,55.2,5,4000,1
190131,51.6,4,6200,1
190132,64.8,6,2100,1
190133,91.2,7,2700,1
190134,42,7,3100,1
190135,54,4,2500,1
190136,31.2,5,2600,0
190137,55.2,4,2300,0
190138,64.8,4,3100,1
190139,75.6,4,7400,0
190140,90,7,8200,0
190141,56.4,4,3000,0
190142,52.8,6,3000,0
190143,79.2,4,4300,1
190144,92.4,1,5400,0
190145,88.8,6,5500,0
190146,64.8,5,6000,0
190147,52.8,4,5100,1
190148,88.8,4,2900,1
190149,76.8,5,5800,1
190150,52.8,6,5800,1
190151,75.6,7,5900,1
190152,91.2,6,4700,1
190153,63.6,7,4700,0
190154,54,7,4000,0
190155,92.4,6,4700,1
190156,15.6,4,4500,0
190157,56.4,6,5200,1
190158,88.8,7,7500,0
190159,49.2,7,5400,1
190160,54,7,8500,0
190161,64.8,7,5000,1
190162,40.8,4,5900,0
190163,73.2,4,7100,1
190164,64.8,5,2300,1
190165,52.8,6,3900,0
190166,90,7,4200,0
190167,68.4,7,6500,1
190168,76.8,6,9500,1
190169,73.2,3,6100,0
190170,15.6,6,2800,1
190171,40.8,7,5600,0
190172,92.4,7,3300,0
190173,79.2,6,4300,0
190174,39.6,7,2600,0
190175,52.8,7,7000,0
190176,28.8,5,4600,0
190177,76.8,7,4300,1
190178,52.8,6,2900,1
190179,56.4,4,5100,1
190180,30,4,8600,1
190181,50.4,6,3600,0
190182,49.2,4,6000,0
190183,88.8,4,400,1
190184,88.8,5,5900,1
190185,40.8,5,4600,0
190186,88.8,6,7200,0
190187,88.8,7,4900,1
190188,92.4,4,4300,0
190189,75.6,5,6050,0
190190,88.8,4,7300,0
190191,51.6,7,7700,0
190192,88.8,2,6200,0
190193,90,5,5000,1
190194,75.6,3,5900,1
